sourceName	(edgeType)	targetName
Organization	owner_account	Account
Account	account	Account
Practitioner	account	Account
Device	account	Account
Patient	account	Account
PractitionerRole	account	Account
Organization	subject_account	Account
HealthcareService	account	Account
Location	account	Account
Coverage	account_coverage	AccountCoverage
Organization	account_guarantor	AccountGuarantor
RelatedPerson	account_guarantor	AccountGuarantor
Patient	account_guarantor	AccountGuarantor
Library	activity_definition	ActivityDefinition
Location	activity_definition	ActivityDefinition
ObservationDefinition	observationRequirement_activity_definition	ActivityDefinition
ObservationDefinition	observationResultRequirement_activity_definition	ActivityDefinition
Medication	activity_definition	ActivityDefinition
Substance	activity_definition	ActivityDefinition
Ingredient	activity_definition	ActivityDefinition
StructureDefinition	activity_definition	ActivityDefinition
SpecimenDefinition	activity_definition	ActivityDefinition
Group	activity_definition	ActivityDefinition
StructureMap	activity_definition	ActivityDefinition
DeviceDefinition	administrable_product_definition	AdministrableProductDefinition
MedicinalProductDefinition	administrable_product_definition	AdministrableProductDefinition
ManufacturedItemDefinition	administrable_product_definition	AdministrableProductDefinition
Practitioner	contributor_adverse_event	AdverseEvent
PractitionerRole	contributor_adverse_event	AdverseEvent
Device	adverse_event	AdverseEvent
Encounter	adverse_event	AdverseEvent
Location	adverse_event	AdverseEvent
Practitioner	recorder_adverse_event	AdverseEvent
PractitionerRole	recorder_adverse_event	AdverseEvent
RelatedPerson	recorder_adverse_event	AdverseEvent
Patient	recorder_adverse_event	AdverseEvent
DocumentReference	referenceDocument_adverse_event	AdverseEvent
Condition	resultingCondition_adverse_event	AdverseEvent
ResearchStudy	adverse_event	AdverseEvent
Practitioner	subject_adverse_event	AdverseEvent
Group	adverse_event	AdverseEvent
RelatedPerson	subject_adverse_event	AdverseEvent
Patient	subject_adverse_event	AdverseEvent
Procedure	adverse_event	AdverseEvent
Media	adverse_event	AdverseEvent
DocumentReference	subjectMedicalHistory_adverse_event	AdverseEvent
Immunization	adverse_event	AdverseEvent
Condition	subjectMedicalHistory_adverse_event	AdverseEvent
AllergyIntolerance	adverse_event	AdverseEvent
FamilyMemberHistory	adverse_event	AdverseEvent
Observation	adverse_event	AdverseEvent
Procedure	adverse_event_suspect_entity	AdverseEventSuspectEntity
Device	adverse_event_suspect_entity	AdverseEventSuspectEntity
Immunization	adverse_event_suspect_entity	AdverseEventSuspectEntity
MedicationAdministration	adverse_event_suspect_entity	AdverseEventSuspectEntity
Medication	adverse_event_suspect_entity	AdverseEventSuspectEntity
Substance	adverse_event_suspect_entity	AdverseEventSuspectEntity
MedicationStatement	adverse_event_suspect_entity	AdverseEventSuspectEntity
Practitioner	adverse_event_suspect_entity_causality	AdverseEventSuspectEntityCausality
PractitionerRole	adverse_event_suspect_entity_causality	AdverseEventSuspectEntityCausality
Practitioner	asserter_allergy_intolerance	AllergyIntolerance
PractitionerRole	asserter_allergy_intolerance	AllergyIntolerance
RelatedPerson	asserter_allergy_intolerance	AllergyIntolerance
Patient	asserter_allergy_intolerance	AllergyIntolerance
Encounter	allergy_intolerance	AllergyIntolerance
Patient	patient_allergy_intolerance	AllergyIntolerance
Practitioner	recorder_allergy_intolerance	AllergyIntolerance
PractitionerRole	recorder_allergy_intolerance	AllergyIntolerance
